artist_name,artist_count,artist_id
"Abhijay Sharma, Riar Saab",2,165
"Semicenk, Doï¿½ï¿½u ",2,166
JISOO,1,167
"Future, Lil Uzi Vert, Metro Boomin",3,168
"RAYE, 070 Shake",2,169
"Arcangel, Bad Bunny",2,170
"Taylor Swift, Ice Spice",2,171
"Future, Chris Brown, Metro Boomin",3,172
"BLESSD, Peso Pluma",2,173
"Fuerza Regida, Natanael Cano",2,174
"Lana Del Rey, Taylor Swift",2,175
Coi Leray,1,176
ENHYPEN,1,177
"Lil Durk, Morgan Wallen",2,178
"James Blake, Metro Boomin",2,179
"Israel & Rodolffo, Mari Fernandez",2,180
Steve Lacy,1,181
Beyoncï¿,1,182
"Halsey, Suga",2,183
"Nicky Jam, Feid",2,184
"Sean Paul, Feid",2,185
Drake,1,186
"Kendrick Lamar, Beyoncï¿",2,187
"WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,188
Simone Mendes,1,189
Tini,1,190
Lil Uzi Vert,1,191
Sia,1,192
Stephen Sanchez,1,193
"MC Caverinha, KayBlack",2,194
"Offset, JID",2,195
Zï¿½ï¿½ Neto & Crist,1,196
"Migrantes, LiL CaKe, Nico Valdi",3,197
Tory Lanez,1,198
Joji,1,199
"Mambo Kingz, DJ Luian, Anuel Aa",3,200
"Nile Rodgers, LE SSERAFIM",2,201
Agust D,1,202
"Rich The Kid, Matuï¿",2,203
Labrinth,1,204
"Karol G, Romeo Santos",2,205
Lizzy McAlpine,1,206
IVE,1,207
sped up 8282,1,208
"Cartel De Santa, La Kelly",2,209
SEVENTEEN,1,210
NLE Choppa,1,211
"The Weeknd, Future",2,212
"Nicki Minaj, Ice Spice",2,213
"Grupo Marca Registrada, Grupo Frontera",2,214
"Fuerza Regida, Peso Pluma",2,215
"TAEYANG, Lisa",2,216
Raim Laode,1,217
ROSALï¿½,1,218
Meghan Trainor,1,219
"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,220
Grupo Frontera,1,221
TV Girl,1,222
INTERWORLD,1,223
"Quevedo, Jhayco",2,224
"El Chachito, Junior H",2,225
"The Weeknd, Gesaffelstein",2,226
"RM, Colde",2,227
BLACKPINK,1,228
"Nengo Flow, Bad Bunny",2,229
"Nicky Youre, Dazy",2,230
"Eminem, Dina Rae",2,231
"IU, Agust D",2,232
"Arcangel, Bizarrap",2,233
"Tyler, The Creator",2,234
"Tiï¿½ï¿½sto, Tate M",2,235
NF,1,236
Yng Lvcas,1,237
"Kanii, PR1ISVX",2,238
Marï¿½ï¿½lia Mendo,1,239
Zach Bryan,1,240
Melanie Martinez,1,241
"Fuerza Regida, Chino Pacas",2,242
Mae Stephens,1,243
"Feid, Mora",2,244
Kenia OS,1,245
Kordhell,1,246
"Coolio, L.V.",2,247
"Karol G, Ovy On The Drums",2,248
The Walters,1,249
Mac DeMarco,1,250
Jack Black,1,251
"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,252
"Brray, Rauw Alejandro, Lyanno",3,253
Linkin Park,1,254
"Gorillaz, Bad Bunny",2,255
"j-hope, J. Cole",2,256
"Robin Schulz, Oliver Tree",2,257
"Don Toliver, Future, Justin Bieber",3,258
Niall Horan,1,259
Central Cee,1,260
Mahalini,1,261
"Arijit Singh, Sachin-Jigar",2,262
ThxSoMch,1,263
"Myke Towers, Quevedo",2,264
"Morgan Wallen, Eric Church",2,265
Nicki Minaj,1,266
Kaifi Khalil,1,267
"Karol G, Quevedo",2,268
Lady Gaga,1,269
"Ozuna, Shakira",2,270
Leo Santana,1,271
Treyce,1,272
"Post Malone, Doja Cat",2,273
"MC Xenon, Os Gemeos da Putaria",2,274
"Imagine Dragons, League of Legends, JID, Arcane",4,275
XXXTENTACION,1,276
"Israel & Rodolffo, Ana Castela",2,277
"J Balvin, Bad Bunny",2,278
"Yuridia, Angela Aguilar",2,279
The Kid Laroi,1,280
Lizzo,1,281
Fujii Kaze,1,282
"Wisin & Yandel, ROSALï¿½",2,283
King,1,284
"Coldplay, BTS",2,285
"Sam Smith, Calvin Harris, Jessie Reyez",3,286
P!nk,1,287
LE SSERAFIM,1,288
PinkPantheress,1,289
"TAEYANG, Jimin",2,290
Rihanna,1,291
Lil Nas X,1,292
Beach Weather,1,293
"Halsey, BTS",2,294
Baby Tate,1,295
Rï¿½ï,1,296
"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,297
Beach House,1,298
"BTS, Jung Kook, FIFA Sound",3,299
"Shakira, Rauw Alejandro",2,300
"Steve Aoki, Tini, La Joaqui",3,301
Sam Smith,1,302
Conan Gray,1,303
"Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,304
"Calvin Harris, Dua Lipa",2,305
TOMORROW X TOGETHER,1,306
"Drake, Future, Tems",3,307
Mr.Kitty,1,308
"Gustavo Mioto, Mari Fernandez",2,309
"Jack Harlow, Lil Nas X",2,310
Elley Duhï¿,1,311
Seafret,1,312
"Baby Rasta, Rauw Alejandro",2,313
"DJ Escobar, MC MENOR SG, MC MENOR HR",3,314
Dean Lewis,1,315
Bellakath,1,316
"Skrillex, Flowdan, Fred again..",3,317
"Travis Scott, 21 Savage, Metro Boomin",3,318
Kate Bush,1,319
Aerosmith,1,320
Freddie Dredd,1,321
"Lost Frequencies, Calum Scott",2,322
"Twisted, Oliver Tree",2,323
Kenshi Yonezu,1,324
Omar Apollo,1,325
"Dua Lipa, DaBaby",2,326
Doja Cat,1,327
"James Hype, Miggy Dela Rosa",2,328
"Pritam, Arijit Singh, Amitabh Bhattacharya",3,329
"Styrx, utku INC, Thezth",3,330
"Maroon 5, Wiz Khalifa",2,331
Mariah Carey,1,332
Wham!,1,333
Brenda Lee,1,334
Bobby Helms,1,335
Michael Bublï¿,1,336
Ariana Grande,1,337
Andy Williams,1,338
Dean Martin,1,339
Kelly Clarkson,1,340
Josï¿½ï¿½ Felic,1,341
The Ronettes,1,342
"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",4,343
"SZA, Don Toliver",2,344
Burl Ives,1,345
Nat King Cole,1,346
Paul McCartney,1,347
Band Aid,1,348
"SZA, Phoebe Bridgers",2,349
Shakin' Stevens,1,350
"Frank Sinatra, B. Swanson Quartet",2,351
"SZA, Travis Scott",2,352
"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",3,353
Chris Rea,1,354
Darlene Love,1,355
"Ed Sheeran, Elton John",2,356
"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",3,357
Britney Spears,1,358
"Mabel Matiz, Mert Demir",2,359
RM,1,360
"Travis Scott, Metro Boomin",2,361
"Taylor Swift, Lana Del Rey",2,362
"Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M",4,363
"Bad Bunny, Jhay Cortez",2,364
"Gwen Stefani, Blake Shelton",2,365
"Chencho Corleone, Rauw Alejandro",2,366
"Bad Bunny, Rauw Alejandro",2,367
Chuck Berry,1,368
Frank Sinatra,1,369
"John Legend, Metro Boomin",2,370
"Maldy, Karol G",2,371
Gayle,1,372
"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",3,373
"Cherish, ACRAZE",2,374
"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",7,375
Farruko,1,376
Jaymes Young,1,377
"The Weeknd, Tyler, The Creator",3,378
"SZA, Doja Cat",2,379
"The Weeknd, Lil Wayne",2,380
Ckay,1,381
Jessica Darrow,1,382
"The Weeknd, Post Malone",2,383
Mï¿½ï¿½ne,1,384
"Aitana, zzoilo",2,385
"Julieta Venegas, Bad Bunny, Tainy",3,386
Lisa,1,387
